time,INITIAL TIME,FINAL TIME,TIME STEP,SAVEPER,characteristic time,room temperature,heat loss to room,teacup temperature
6.25,0,30,0.125,0.125,10,70,5.864728341543929,128.6472834154393
6.375,0,30,0.125,0.125,10,70,5.79141923727463,127.9141923727463
6.5,0,30,0.125,0.125,10,70,5.719026496808697,127.19026496808696
6.625,0,30,0.125,0.125,10,70,5.647538665598587,126.47538665598587
6.75,0,30,0.125,0.125,10,70,5.576944432278604,125.76944432278604
6.875,0,30,0.125,0.125,10,70,5.507232626875121,125.07232626875121
7.0,0,30,0.125,0.125,10,70,5.438392219039183,124.38392219039183
7.125,0,30,0.125,0.125,10,70,5.370412316301193,123.70412316301193
7.25,0,30,0.125,0.125,10,70,5.303282162347427,123.03282162347428
7.375,0,30,0.125,0.125,10,70,5.236991135318085,122.36991135318085
7.5,0,30,0.125,0.125,10,70,5.171528746126609,121.71528746126609
7.625,0,30,0.125,0.125,10,70,5.106884636800027,121.06884636800027
7.75,0,30,0.125,0.125,10,70,5.043048578840026,120.43048578840026
7.875,0,30,0.125,0.125,10,70,4.980010471604525,119.80010471604525
8.0,0,30,0.125,0.125,10,70,4.917760340709469,119.1776034070947
8.125,0,30,0.125,0.125,10,70,4.856288336450601,118.562883364506
8.25,0,30,0.125,0.125,10,70,4.7955847322449685,117.95584732244969
8.375,0,30,0.125,0.125,10,70,4.735639923091907,117.35639923091907
8.5,0,30,0.125,0.125,10,70,4.676444424053258,116.76444424053258
8.625,0,30,0.125,0.125,10,70,4.617988868752593,116.17988868752593
8.75,0,30,0.125,0.125,10,70,4.560264007893186,115.60264007893186
8.875,0,30,0.125,0.125,10,70,4.50326070779452,115.0326070779452
9.0,0,30,0.125,0.125,10,70,4.446969948947088,114.46969948947088
9.125,0,30,0.125,0.125,10,70,4.39138282458525,113.9138282458525
9.25,0,30,0.125,0.125,10,70,4.336490539277935,113.36490539277935
9.375,0,30,0.125,0.125,10,70,4.28228440753696,112.8228440753696
9.5,0,30,0.125,0.125,10,70,4.228755852442748,112.28755852442748
9.625,0,30,0.125,0.125,10,70,4.175896404287213,111.75896404287214
9.75,0,30,0.125,0.125,10,70,4.123697699233624,111.23697699233624
9.875,0,30,0.125,0.125,10,70,4.072151477993204,110.72151477993204
10.0,0,30,0.125,0.125,10,70,4.021249584518289,110.21249584518289
10.125,0,30,0.125,0.125,10,70,3.9709839647118104,109.7098396471181
10.25,0,30,0.125,0.125,10,70,3.921346665152913,109.21346665152913
10.375,0,30,0.125,0.125,10,70,3.8723298318385018,108.72329831838502
10.5,0,30,0.125,0.125,10,70,3.82392570894052,108.2392570894052
10.625,0,30,0.125,0.125,10,70,3.776126637578764,107.76126637578764
10.75,0,30,0.125,0.125,10,70,3.72892505460903,107.2892505460903
10.875,0,30,0.125,0.125,10,70,3.6823134914264175,106.82313491426417
11.0,0,30,0.125,0.125,10,70,3.6362845727835875,106.36284572783588
11.125,0,30,0.125,0.125,10,70,3.590831015623793,105.90831015623793
11.25,0,30,0.125,0.125,10,70,3.545945627928495,105.45945627928495
11.375,0,30,0.125,0.125,10,70,3.5016213075793887,105.01621307579389
11.5,0,30,0.125,0.125,10,70,3.457851041234646,104.57851041234646
11.625,0,30,0.125,0.125,10,70,3.4146279032192126,104.14627903219213
11.75,0,30,0.125,0.125,10,70,3.3719450544289726,103.71945054428973
11.875,0,30,0.125,0.125,10,70,3.329795741248611,103.29795741248611
12.0,0,30,0.125,0.125,10,70,3.2881732944830033,102.88173294483003
12.125,0,30,0.125,0.125,10,70,3.2470711283019655,102.47071128301965
12.25,0,30,0.125,0.125,10,70,3.206482739198191,102.06482739198191
12.375,0,30,0.125,0.125,10,70,3.1664017049582127,101.66401704958213
12.5,0,30,0.125,0.125,10,70,3.1268216836462357,101.26821683646236
12.625,0,30,0.125,0.125,10,70,3.087736412600658,100.87736412600658
12.75,0,30,0.125,0.125,10,70,3.0491397074431505,100.4913970744315
12.875,0,30,0.125,0.125,10,70,3.011025461100111,100.11025461100111
13.0,0,30,0.125,0.125,10,70,2.97338764283636,99.7338764283636
13.125,0,30,0.125,0.125,10,70,2.936220297300906,99.36220297300906
13.25,0,30,0.125,0.125,10,70,2.8995175435846448,98.99517543584645
13.375,0,30,0.125,0.125,10,70,2.863273574289836,98.63273574289836
13.5,0,30,0.125,0.125,10,70,2.827482654611214,98.27482654611214
13.625,0,30,0.125,0.125,10,70,2.7921391214285736,97.92139121428573
13.75,0,30,0.125,0.125,10,70,2.757237382410716,97.57237382410716
13.875,0,30,0.125,0.125,10,70,2.722771915130582,97.22771915130582
14.0,0,30,0.125,0.125,10,70,2.68873726619145,96.8873726619145
14.125,0,30,0.125,0.125,10,70,2.655128050364057,96.55128050364057
14.25,0,30,0.125,0.125,10,70,2.6219389497345063,96.21938949734506
14.375,0,30,0.125,0.125,10,70,2.589164712862825,95.89164712862825
14.5,0,30,0.125,0.125,10,70,2.5568001539520395,95.5680015395204
14.625,0,30,0.125,0.125,10,70,2.5248401520276387,95.24840152027639
14.75,0,30,0.125,0.125,10,70,2.493279650127293,94.93279650127293
14.875,0,30,0.125,0.125,10,70,2.462113654500702,94.62113654500702
15.0,0,30,0.125,0.125,10,70,2.4313372338194426,94.31337233819443
15.125,0,30,0.125,0.125,10,70,2.400945518396699,94.00945518396699
15.25,0,30,0.125,0.125,10,70,2.37093369941674,93.7093369941674
15.375,0,30,0.125,0.125,10,70,2.3412970281740315,93.41297028174031
15.5,0,30,0.125,0.125,10,70,2.312030815321856,93.12030815321856
15.625,0,30,0.125,0.125,10,70,2.2831304301303335,92.83130430130333
15.75,0,30,0.125,0.125,10,70,2.2545912997537045,92.54591299753704
15.875,0,30,0.125,0.125,10,70,2.2264089085067837,92.26408908506784
16.0,0,30,0.125,0.125,10,70,2.198578797150449,91.9857879715045
16.125,0,30,0.125,0.125,10,70,2.171096562186068,91.71096562186068
16.25,0,30,0.125,0.125,10,70,2.1439578551587415,91.43957855158742
16.375,0,30,0.125,0.125,10,70,2.117158381969257,91.17158381969257
16.5,0,30,0.125,0.125,10,70,2.0906939021946416,90.90693902194641
16.625,0,30,0.125,0.125,10,70,2.0645602284172084,90.64560228417209
16.75,0,30,0.125,0.125,10,70,2.038753225561993,90.38753225561993
16.875,0,30,0.125,0.125,10,70,2.013268810242468,90.13268810242468
17.0,0,30,0.125,0.125,10,70,1.988102950114437,89.88102950114437
17.125,0,30,0.125,0.125,10,70,1.963251663238006,89.63251663238006
17.25,0,30,0.125,0.125,10,70,1.938711017447531,89.38711017447531
17.375,0,30,0.125,0.125,10,70,1.914477129729437,89.14477129729437
17.5,0,30,0.125,0.125,10,70,1.8905461656078189,88.90546165607819
17.625,0,30,0.125,0.125,10,70,1.8669143385377212,88.66914338537721
17.75,0,30,0.125,0.125,10,70,1.8435779093059992,88.43577909305999
17.875,0,30,0.125,0.125,10,70,1.8205331854396747,88.20533185439675
18.0,0,30,0.125,0.125,10,70,1.7977765206216787,87.97776520621679
18.125,0,30,0.125,0.125,10,70,1.7753043141139073,87.75304314113907
18.25,0,30,0.125,0.125,10,70,1.7531130101874837,87.53113010187484
18.375,0,30,0.125,0.125,10,70,1.7311990975601403,87.3119909756014
18.5,0,30,0.125,0.125,10,70,1.7095591088406379,87.09559108840638
18.625,0,30,0.125,0.125,10,70,1.6881896199801303,86.8818961998013
18.75,0,30,0.125,0.125,10,70,1.667087249730379,86.67087249730379
18.875,0,30,0.125,0.125,10,70,1.6462486591087497,86.4624865910875
19.0,0,30,0.125,0.125,10,70,1.62567055086989,86.2567055086989
19.125,0,30,0.125,0.125,10,70,1.6053496689840159,86.05349668984016
19.25,0,30,0.125,0.125,10,70,1.5852827981217161,85.85282798121716
19.375,0,30,0.125,0.125,10,70,1.5654667631451944,85.65466763145194
19.5,0,30,0.125,0.125,10,70,1.5458984286058794,85.4589842860588
19.625,0,30,0.125,0.125,10,70,1.5265746982483066,85.26574698248307
19.75,0,30,0.125,0.125,10,70,1.507492514520203,85.07492514520203
19.875,0,30,0.125,0.125,10,70,1.4886488580887005,84.886488580887
20.0,0,30,0.125,0.125,10,70,1.4700407473625916,84.70040747362592
20.125,0,30,0.125,0.125,10,70,1.4516652380205586,84.51665238020558
20.25,0,30,0.125,0.125,10,70,1.433519422545301,84.33519422545301
20.375,0,30,0.125,0.125,10,70,1.4156004297634852,84.15600429763485
20.5,0,30,0.125,0.125,10,70,1.397905424391442,83.97905424391442
20.625,0,30,0.125,0.125,10,70,1.3804316065865492,83.80431606586549
20.75,0,30,0.125,0.125,10,70,1.3631762115042179,83.63176211504218
20.875,0,30,0.125,0.125,10,70,1.3461365088604154,83.46136508860415
21.0,0,30,0.125,0.125,10,70,1.3293098024996595,83.2930980249966
21.125,0,30,0.125,0.125,10,70,1.3126934299684136,83.12693429968414
21.25,0,30,0.125,0.125,10,70,1.2962847620938092,82.96284762093809
21.375,0,30,0.125,0.125,10,70,1.2800812025676365,82.80081202567636
21.5,0,30,0.125,0.125,10,70,1.2640801875355407,82.64080187535541
21.625,0,30,0.125,0.125,10,70,1.2482791851913462,82.48279185191346
21.75,0,30,0.125,0.125,10,70,1.2326756953764544,82.32675695376454
21.875,0,30,0.125,0.125,10,70,1.2172672491842491,82.17267249184249
22.0,0,30,0.125,0.125,10,70,1.2020514085694458,82.02051408569446
22.125,0,30,0.125,0.125,10,70,1.1870257659623278,81.87025765962328
22.25,0,30,0.125,0.125,10,70,1.1721879438877991,81.72187943887799
22.375,0,30,0.125,0.125,10,70,1.1575355945892014,81.57535594589201
22.5,0,30,0.125,0.125,10,70,1.143066399656837,81.43066399656837
22.625,0,30,0.125,0.125,10,70,1.1287780696611265,81.28778069661126
22.75,0,30,0.125,0.125,10,70,1.114668343790362,81.14668343790362
22.875,0,30,0.125,0.125,10,70,1.1007349894929817,81.00734989492982
23.0,0,30,0.125,0.125,10,70,1.08697580212432,80.8697580212432
23.125,0,30,0.125,0.125,10,70,1.0733886045977656,80.73388604597766
23.25,0,30,0.125,0.125,10,70,1.0599712470402936,80.59971247040293
23.375,0,30,0.125,0.125,10,70,1.0467216064522902,80.4672160645229
23.5,0,30,0.125,0.125,10,70,1.033637586371637,80.33637586371637
23.625,0,30,0.125,0.125,10,70,1.0207171165419922,80.20717116541992
23.75,0,30,0.125,0.125,10,70,1.0079581525852177,80.07958152585218
23.875,0,30,0.125,0.125,10,70,0.9953586756779031,79.95358675677903
24.0,0,30,0.125,0.125,10,70,0.9829166922319288,79.82916692231929
24.125,0,30,0.125,0.125,10,70,0.9706302335790298,79.7063023357903
24.25,0,30,0.125,0.125,10,70,0.9584973556592914,79.58497355659291
24.375,0,30,0.125,0.125,10,70,0.9465161387135496,79.4651613871355
24.5,0,30,0.125,0.125,10,70,0.9346846869796295,79.3468468697963
24.625,0,30,0.125,0.125,10,70,0.9230011283923844,79.23001128392384
24.75,0,30,0.125,0.125,10,70,0.9114636142874801,79.1146361428748
24.875,0,30,0.125,0.125,10,70,0.900070319108886,79.00070319108886
25.0,0,30,0.125,0.125,10,70,0.8888194401200252,78.88819440120025
25.125,0,30,0.125,0.125,10,70,0.8777091971185242,78.77709197118524
25.25,0,30,0.125,0.125,10,70,0.8667378321545428,78.66737832154543
25.375,0,30,0.125,0.125,10,70,0.8559036092526113,78.55903609252611
25.5,0,30,0.125,0.125,10,70,0.845204814136953,78.45204814136953
25.625,0,30,0.125,0.125,10,70,0.8346397539602407,78.3463975396024
25.75,0,30,0.125,0.125,10,70,0.8242067570357378,78.24206757035738
25.875,0,30,0.125,0.125,10,70,0.8139041725727907,78.1390417257279
26.0,0,30,0.125,0.125,10,70,0.8037303704156301,78.0373037041563
26.125,0,30,0.125,0.125,10,70,0.7936837407854341,77.93683740785434
26.25,0,30,0.125,0.125,10,70,0.7837626940256157,77.83762694025616
26.375,0,30,0.125,0.125,10,70,0.7739656603502951,77.73965660350295
26.5,0,30,0.125,0.125,10,70,0.7642910895959162,77.64291089595916
26.625,0,30,0.125,0.125,10,70,0.7547374509759678,77.54737450975968
26.75,0,30,0.125,0.125,10,70,0.7453032328387679,77.45303232838768
26.875,0,30,0.125,0.125,10,70,0.7359869424282834,77.35986942428283
27.0,0,30,0.125,0.125,10,70,0.7267871056479294,77.2678710564793
27.125,0,30,0.125,0.125,10,70,0.717702266827331,77.17702266827331
27.25,0,30,0.125,0.125,10,70,0.708730988491989,77.08730988491989
27.375,0,30,0.125,0.125,10,70,0.699871851135839,76.99871851135839
27.5,0,30,0.125,0.125,10,70,0.6911234529966407,76.9112345299664
27.625,0,30,0.125,0.125,10,70,0.6824844098341828,76.82484409834183
27.75,0,30,0.125,0.125,10,70,0.6739533547112557,76.73953354711256
27.875,0,30,0.125,0.125,10,70,0.6655289377773655,76.65528937777366
28.0,0,30,0.125,0.125,10,70,0.6572098260551484,76.57209826055148
28.125,0,30,0.125,0.125,10,70,0.6489947032294594,76.4899470322946
28.25,0,30,0.125,0.125,10,70,0.6408822694390907,76.4088226943909
28.375,0,30,0.125,0.125,10,70,0.632871241071102,76.32871241071102
28.5,0,30,0.125,0.125,10,70,0.6249603505577127,76.24960350557713
28.625,0,30,0.125,0.125,10,70,0.6171483461757419,76.17148346175742
28.75,0,30,0.125,0.125,10,70,0.6094339918485445,76.09433991848545
28.875,0,30,0.125,0.125,10,70,0.6018160669504382,76.01816066950438
29.0,0,30,0.125,0.125,10,70,0.5942933661135583,75.94293366113558
29.125,0,30,0.125,0.125,10,70,0.5868646990371389,75.86864699037139
29.25,0,30,0.125,0.125,10,70,0.5795288902991743,75.79528890299174
29.375,0,30,0.125,0.125,10,70,0.572284779170434,75.72284779170434
29.5,0,30,0.125,0.125,10,70,0.5651312194308034,75.65131219430803
29.625,0,30,0.125,0.125,10,70,0.5580670791879185,75.58067079187919
29.75,0,30,0.125,0.125,10,70,0.5510912406980694,75.5109124069807
29.875,0,30,0.125,0.125,10,70,0.5442026001893439,75.44202600189344
30.0,0,30,0.125,0.125,10,70,0.537400067686977,75.37400067686977
