time,INITIAL TIME,FINAL TIME,TIME STEP,SAVEPER,contact infectivity,duration,total population,recovering,succumbing,infectious,recovered,susceptible
17.28125,0,100,0.03125,0.03125,0.3,5,1000,4.960621402895436,6.967473365785379,24.803107014477177,43.82584859465089,936.3710443908736
17.3125,0,100,0.03125,0.03125,0.3,5,1000,4.9731642276634975,6.983466235678469,24.86582113831749,43.980868013491374,936.1533108481929
17.34375,0,100,0.03125,0.03125,0.3,5,1000,4.985728615213591,6.999477447022704,24.928643076067956,44.13627939560586,935.935077528328
17.375,0,100,0.03125,0.03125,0.3,5,1000,4.9983145454123985,7.01550691782914,24.991572727061993,44.29208341483129,935.7163438581085
17.40625,0,100,0.03125,0.03125,0.3,5,1000,5.010921997740003,7.031554565471738,25.054609988700015,44.448280744375424,935.4971092669264
17.4375,0,100,0.03125,0.03125,0.3,5,1000,5.0235509512883265,7.047620306686158,25.11775475644163,44.6048720568048,935.2773731867554
17.46875,0,100,0.03125,0.03125,0.3,5,1000,5.036201384759563,7.063704057568582,25.181006923797813,44.76185802403256,935.0571350521715
17.5,0,100,0.03125,0.03125,0.3,5,1000,5.048873276464619,7.0798057335745375,25.244366382323093,44.9192393173063,934.8363943003725
17.53125,0,100,0.03125,0.03125,0.3,5,1000,5.0615666043215555,7.095925249517739,25.307833021607777,45.077016607195816,934.6151503711983
17.5625,0,100,0.03125,0.03125,0.3,5,1000,5.074281345854032,7.112062519568954,25.37140672927016,45.235190563580865,934.3934027071508
17.59375,0,100,0.03125,0.03125,0.3,5,1000,5.08701747818975,7.128217457254875,25.435087390948752,45.3937618556388,934.1711507534143
17.625,0,100,0.03125,0.03125,0.3,5,1000,5.099774978058908,7.144389975457011,25.498874890294537,45.55273115183223,933.948393957875
17.65625,0,100,0.03125,0.03125,0.3,5,1000,5.112553821792646,7.16057998641059,25.562769108963227,45.71209911989657,933.7251317711421
17.6875,0,100,0.03125,0.03125,0.3,5,1000,5.1253539853215075,7.176787401703488,25.626769926607537,45.871866426827594,933.5013636465667
17.71875,0,100,0.03125,0.03125,0.3,5,1000,5.1381754441738945,7.193012132275163,25.690877220869474,46.03203373886889,933.2770890402635
17.75,0,100,0.03125,0.03125,0.3,5,1000,5.151018173474528,7.209254088415608,25.75509086737264,46.19260172149932,933.0523074111298
17.78125,0,100,0.03125,0.03125,0.3,5,1000,5.16388214794291,7.225513179764324,25.81941073971455,46.3535710394204,932.8270182208669
17.8125,0,100,0.03125,0.03125,0.3,5,1000,5.176767341891794,7.241789315309311,25.88383670945897,46.51494235654362,932.6012209339992
17.84375,0,100,0.03125,0.03125,0.3,5,1000,5.189673729225653,7.258082403386061,25.948368646128266,46.67671633597774,932.3749150178958
17.875,0,100,0.03125,0.03125,0.3,5,1000,5.202601283439156,7.274392351676594,26.01300641719578,46.83889364001604,932.1480999427899
17.90625,0,100,0.03125,0.03125,0.3,5,1000,5.215549977615639,7.29071906720848,26.0777498880782,47.001474930123514,931.9207751818001
17.9375,0,100,0.03125,0.03125,0.3,5,1000,5.228519784425595,7.307062456353906,26.142598922127974,47.164460866924,931.6929402109498
17.96875,0,100,0.03125,0.03125,0.3,5,1000,5.241510676125147,7.32342242482874,26.207553380625733,47.3278521101873,931.4645945091887
18.0,0,100,0.03125,0.03125,0.3,5,1000,5.254522624554545,7.339798877691627,26.27261312277272,47.491649318816215,931.2357375584128
18.03125,0,100,0.03125,0.03125,0.3,5,1000,5.267555601136651,7.35619171934309,26.337778005683255,47.65585315083354,931.0063688434849
18.0625,0,100,0.03125,0.03125,0.3,5,1000,5.280609576875441,7.372600853524662,26.403047884377205,47.82046426336906,930.7764878522554
18.09375,0,100,0.03125,0.03125,0.3,5,1000,5.293684522354498,7.389026183318019,26.468422611772493,47.985483312646416,930.5460940755828
18.125,0,100,0.03125,0.03125,0.3,5,1000,5.306780407735521,7.40546761114415,26.533902038677603,48.15091095396999,930.3151870073541
18.15625,0,100,0.03125,0.03125,0.3,5,1000,5.319897202756825,7.4219250387625335,26.599486013784123,48.316747841711724,930.0837661445058
18.1875,0,100,0.03125,0.03125,0.3,5,1000,5.33303487673186,7.438398367270331,26.665174383659302,48.48299462929788,929.8518309870445
