time,INITIAL TIME,FINAL TIME,TIME STEP,SAVEPER,predation rate,predator death rate,predator efficiency,prey birth rate,predation,predator births,predator deaths,prey births,Predator,Prey
26.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.9085451179231361,0.00908545117923136,0.46218953043218597,19.65741450425262,1.155473826080465,39.31482900850524
26.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.9171767236508221,0.009171767236508222,0.41687912250689046,22.001023177543807,1.0421978062672261,44.002046355087614
26.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.9265995774350415,0.009265995774350416,0.37610838697985227,24.63650398428043,0.9402709674496306,49.27300796856086
27.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.9368188633486562,0.009368188633486561,0.3394241478593021,27.600242035136105,0.8485603696482551,55.20048407027221
27.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.9478497137256299,0.009478497137256297,0.3064185519367205,30.933169931609537,0.7660463798418012,61.866339863219075
27.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.9597176687001854,0.009597176687001854,0.2767245464567741,34.68133495884503,0.6918113661419352,69.36266991769006
27.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.972459362789757,0.00972459362789757,0.25001180947979684,38.89653712011313,0.625029523699492,77.79307424022626
28.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,0.9861234591454753,0.009861234591454753,0.2259830878946069,43.63704683977855,0.5649577197365172,87.2740936795571
28.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,1.0007718611198368,0.010007718611198368,0.2043709025642917,48.96841226235768,0.5109272564107292,97.93682452471536
28.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,1.0164812413050688,0.01016481241305069,0.18493458416898237,54.96436731251241,0.4623364604224559,109.92873462502482
28.75,0,100,0.25,0.25,0.02,0.4,0.01,0.5,1.0333449408038538,0.010333449408038538,0.1674576069933892,61.707853071413325,0.418644017483473,123.41570614282665
29.0,0,100,0.25,0.25,0.02,0.4,0.01,0.5,1.0514753069933904,0.010514753069933904,0.15174519123485417,69.29216658773952,0.37936297808713537,138.58433317547903
29.25,0,100,0.25,0.25,0.02,0.4,0.01,0.5,1.0710065574496814,0.010710065574496816,0.13762214741836212,77.82225299783278,0.3440553685459053,155.64450599566555
29.5,0,100,0.25,0.25,0.02,0.4,0.01,0.5,1.0920982823470244,0.010920982823470243,0.12493093923397558,87.41615880288066,0.31232734808493895,174.83231760576132
