Years,Deep N,downwelling,downwelling rate,remin,remin rate,Surface N,uptake,uptake rate,upwelling,upwelling rate
21,954.68538651,10.2236684881,0.03,19.0937077302,0.02,340.788949602,13.6315579841,0.04,28.6405615953,0.03
21.25,954.854590166,10.2595585015,0.03,19.0970918033,0.02,341.985283383,13.6794113353,0.04,28.645637705,0.03
21.5,955.032343316,10.2948585105,0.03,19.1006468663,0.02,343.16195035,13.726478014,0.04,28.6509702995,0.03
21.75,955.218477085,10.3295807638,0.03,19.1043695417,0.02,344.319358794,13.7727743518,0.04,28.6565543126,0.03
22,955.412826084,10.3637372578,0.03,19.1082565217,0.02,345.457908593,13.8183163437,0.04,28.6623847825,0.03
22.25,955.615228333,10.3973397416,0.03,19.1123045667,0.02,346.577991388,13.8631196555,0.04,28.66845685,0.03
22.5,955.825525197,10.4303997225,0.03,19.1165105039,0.02,347.679990751,13.9071996301,0.04,28.6747657559,0.03
22.75,956.043561315,10.4629284706,0.03,19.1208712263,0.02,348.764282352,13.9505712941,0.04,28.6813068395,0.03
23,956.269184529,10.4949370236,0.03,19.1253836906,0.02,349.831234121,13.9932493648,0.04,28.6880755359,0.03
23.25,956.502245824,10.5264361922,0.03,19.1300449165,0.02,350.881206408,14.0352482563,0.04,28.6950673747,0.03
23.5,956.742599258,10.5574365642,0.03,19.1348519852,0.02,351.914552139,14.0765820856,0.04,28.7022779777,0.03
23.75,956.9901019,10.5879485091,0.03,19.139802038,0.02,352.931616971,14.1172646789,0.04,28.709703057,0.03
24,957.244613773,10.6179821832,0.03,19.1448922755,0.02,353.932739439,14.1573095775,0.04,28.7173384132,0.03
24.25,957.505997784,10.6475475331,0.03,19.1501199557,0.02,354.918251102,14.1967300441,0.04,28.7251799335,0.03
24.5,957.774119673,10.6766543007,0.03,19.1554823935,0.02,355.888476691,14.2355390676,0.04,28.7332235902,0.03
24.75,958.048847949,10.7053120274,0.03,19.160976959,0.02,356.843734246,14.2737493699,0.04,28.7414654385,0.03
25,958.330053836,10.7335300577,0.03,19.1666010767,0.02,357.784335257,14.3113734103,0.04,28.7499016151,0.03
25.25,958.617611216,10.7613175438,0.03,19.1723522243,0.02,358.710584793,14.3484233917,0.04,28.7585283365,0.03
25.5,958.911396574,10.7886834493,0.03,19.1782279315,0.02,359.622781644,14.3849112657,0.04,28.7673418972,0.03
25.75,959.211288945,10.8156365532,0.03,19.1842257789,0.02,360.521218439,14.4208487376,0.04,28.7763386683,0.03
26,959.517169861,10.8421854535,0.03,19.1903433972,0.02,361.406181784,14.4562472713,0.04,28.7855150958,0.03
26.25,959.828923299,10.8683385713,0.03,19.196578466,0.02,362.277952376,14.4911180951,0.04,28.794867699,0.03
26.5,960.146435634,10.894104154,0.03,19.2029287127,0.02,363.136805135,14.5254722054,0.04,28.804393069,0.03
26.75,960.469595583,10.9194902794,0.03,19.2093919117,0.02,363.983009312,14.5593203725,0.04,28.8140878675,0.03
27,960.798294164,10.9445048585,0.03,19.2159658833,0.02,364.816828616,14.5926731446,0.04,28.8239488249,0.03
27.25,961.132424644,10.9691556396,0.03,19.2226484929,0.02,365.638521321,14.6255408529,0.04,28.8339727393,0.03
27.5,961.471882492,10.9934502115,0.03,19.2294376498,0.02,366.448340383,14.6579336153,0.04,28.8441564748,0.03
27.75,961.816565338,11.0173960063,0.03,19.2363313068,0.02,367.246533545,14.6898613418,0.04,28.8544969602,0.03
28,962.166372927,11.0410003034,0.03,19.2433274585,0.02,368.033343448,14.7213337379,0.04,28.8649911878,0.03
28.25,962.52120707,11.064270232,0.03,19.2504241414,0.02,368.809007735,14.7523603094,0.04,28.8756362121,0.03
28.5,962.880971611,11.0872127746,0.03,19.2576194322,0.02,369.573759152,14.7829503661,0.04,28.8864291483,0.03
28.75,963.245572375,11.1098347696,0.03,19.2649114475,0.02,370.327825654,14.8131130262,0.04,28.8973671713,0.03
29,963.614917137,11.1321429149,0.03,19.2722983427,0.02,371.071430498,14.8428572199,0.04,28.9084475141,0.03
29.25,963.988915573,11.1541437703,0.03,19.2797783115,0.02,371.804792343,14.8721916937,0.04,28.9196674672,0.03
29.5,964.367479226,11.1758437603,0.03,19.2873495845,0.02,372.528125344,14.9011250137,0.04,28.9310243768,0.03
29.75,964.750521468,11.1972491773,0.03,19.2950104294,0.02,373.241639244,14.9296655698,0.04,28.942515644,0.03
30,965.137957459,11.2183661841,0.03,19.3027591492,0.02,373.945539469,14.9578215787,0.04,28.9541387238,0.03
30.25,965.529704111,11.2392008163,0.03,19.3105940822,0.02,374.640027209,14.9856010884,0.04,28.9658911233,0.03
30.5,965.925680055,11.2597589854,0.03,19.3185136011,0.02,375.325299513,15.0130119805,0.04,28.9777704017,0.03
30.75,966.325805601,11.2800464812,0.03,19.326516112,0.02,376.001549372,15.0400619749,0.04,28.989774168,0.03
31,966.730002708,11.300068974,0.03,19.3346000542,0.02,376.6689658,15.066758632,0.04,29.0019000812,0.03
31.25,967.138194944,11.3198320176,0.03,19.3427638989,0.02,377.327733919,15.0931093568,0.04,29.0141458483,0.03
31.5,967.550307461,11.3393410511,0.03,19.3510061492,0.02,377.978035038,15.1191214015,0.04,29.0265092238,0.03
31.75,967.966266955,11.3586014019,0.03,19.3593253391,0.02,378.62004673,15.1448018692,0.04,29.0389880087,0.03
32,968.386001639,11.3776182874,0.03,19.3677200328,0.02,379.253942915,15.1701577166,0.04,29.0515800492,0.03
32.25,968.809441206,11.3963968178,0.03,19.3761888241,0.02,379.879893926,15.195195757,0.04,29.0642832362,0.03
32.5,969.236516808,11.4149419977,0.03,19.3847303362,0.02,380.498066591,15.2199226637,0.04,29.0770955042,0.03
32.75,969.667161015,11.4332587291,0.03,19.3933432203,0.02,381.108624302,15.2443449721,0.04,29.0900148305,0.03
33,970.101307795,11.4513518125,0.03,19.4020261559,0.02,381.711727085,15.2684690834,0.04,29.1030392338,0.03
33.25,970.538892478,11.4692259501,0.03,19.4107778496,0.02,382.307531669,15.2923012668,0.04,29.1161667744,0.03
33.5,970.979851735,11.4868857468,0.03,19.4195970347,0.02,382.896191558,15.3158476623,0.04,29.129395552,0.03
33.75,971.424123542,11.5043357128,0.03,19.4284824708,0.02,383.477857094,15.3391142838,0.04,29.1427237063,0.03
34,971.871647162,11.5215802656,0.03,19.4374329432,0.02,384.052675522,15.3621070209,0.04,29.1561494148,0.03
34.25,972.32236311,11.5386237316,0.03,19.4464472622,0.02,384.620791054,15.3848316421,0.04,29.1696708933,0.03
34.5,972.776213135,11.555470348,0.03,19.4555242627,0.02,385.182344934,15.4072937973,0.04,29.1832863941,0.03
34.75,973.233140189,11.5721242649,0.03,19.4646628038,0.02,385.737475496,15.4294990198,0.04,29.1969942057,0.03
35,973.693088405,11.5885895468,0.03,19.4738617681,0.02,386.286318226,15.451452729,0.04,29.2107926522,0.03
35.25,974.156003071,11.6048701746,0.03,19.4831200614,0.02,386.82900582,15.4731602328,0.04,29.2246800921,0.03
35.5,974.621830607,11.6209700472,0.03,19.4924366121,0.02,387.365668241,15.4946267296,0.04,29.2386549182,0.03
35.75,975.090518542,11.6368929833,0.03,19.5018103708,0.02,387.896432777,15.5158573111,0.04,29.2527155563,0.03
