Years,Deep N,downwelling,downwelling rate,remin,remin rate,Surface N,uptake,uptake rate,upwelling,upwelling rate
57.75,1023.47808227,12.6413388461,0.03,20.4695616454,0.02,421.377961536,16.8551184614,0.04,30.7043424682,0.03
58,1024.07972178,12.6503979848,0.03,20.4815944356,0.02,421.679932826,16.867197313,0.04,30.7223916533,0.03
58.25,1024.68212197,12.6594339574,0.03,20.4936424394,0.02,421.981131915,16.8792452766,0.04,30.7404636591,0.03
58.5,1025.28527515,12.6684473406,0.03,20.5057055031,0.02,422.281578021,16.8912631208,0.04,30.7585582546,0.03
58.75,1025.8891738,12.6774386991,0.03,20.517783476,0.02,422.581289969,16.9032515988,0.04,30.776675214,0.03
59,1026.49381054,12.686408586,0.03,20.5298762108,0.02,422.880286198,16.9152114479,0.04,30.7948143162,0.03
59.25,1027.09917816,12.6953575431,0.03,20.5419835632,0.02,423.178584769,16.9271433908,0.04,30.8129753448,0.03
59.5,1027.7052696,12.7042861012,0.03,20.554105392,0.02,423.476203372,16.9390481349,0.04,30.8311580881,0.03
59.75,1028.31207795,12.71319478,0.03,20.5662415591,0.02,423.773159335,16.9509263734,0.04,30.8493623386,0.03
60,1028.91959645,12.7220840889,0.03,20.5783919291,0.02,424.069469631,16.9627787852,0.04,30.8675878936,0.03
60.25,1029.52781848,12.7309545266,0.03,20.5905563697,0.02,424.365150886,16.9746060354,0.04,30.8858345545,0.03
60.5,1030.13673757,12.7398065815,0.03,20.6027347514,0.02,424.660219384,16.9864087754,0.04,30.9041021271,0.03
60.75,1030.74634737,12.7486407323,0.03,20.6149269474,0.02,424.954691077,16.9981876431,0.04,30.9223904211,0.03
61,1031.35664169,12.7574574476,0.03,20.6271328337,0.02,425.248581588,17.0099432635,0.04,30.9406992506,0.03
61.25,1031.96761444,12.7662571867,0.03,20.6393522889,0.02,425.541906223,17.0216762489,0.04,30.9590284333,0.03
61.5,1032.5792597,12.7750403992,0.03,20.6515851941,0.02,425.834679972,17.0333871989,0.04,30.9773777911,0.03
61.75,1033.19157165,12.7838075256,0.03,20.6638314331,0.02,426.126917521,17.0450767008,0.04,30.9957471496,0.03
62,1033.80454461,12.7925589975,0.03,20.6760908921,0.02,426.418633251,17.0567453301,0.04,31.0141363382,0.03
62.25,1034.41817299,12.8012952376,0.03,20.6883634599,0.02,426.709841254,17.0683936502,0.04,31.0325451898,0.03
62.5,1035.03245137,12.8100166599,0.03,20.7006490274,0.02,427.00055533,17.0800222132,0.04,31.0509735411,0.03
62.75,1035.64737441,12.8187236699,0.03,20.7129474882,0.02,427.290788997,17.0916315599,0.04,31.0694212322,0.03
63,1036.26293689,12.8274166649,0.03,20.7252587378,0.02,427.580555497,17.1032222199,0.04,31.0878881067,0.03
63.25,1036.87913371,12.8360960341,0.03,20.7375826743,0.02,427.869867803,17.1147947121,0.04,31.1063740114,0.03
63.5,1037.49595989,12.8447621586,0.03,20.7499191978,0.02,428.158738619,17.1263495448,0.04,31.1248787966,0.03
63.75,1038.11341053,12.8534154118,0.03,20.7622682106,0.02,428.447180392,17.1378872157,0.04,31.1434023158,0.03
64,1038.73148085,12.8620561594,0.03,20.7746296171,0.02,428.735205314,17.1494082126,0.04,31.1619444256,0.03
64.25,1039.35016619,12.8706847598,0.03,20.7870033238,0.02,429.022825328,17.1609130131,0.04,31.1805049858,0.03
64.5,1039.96946197,12.8793015639,0.03,20.7993892393,0.02,429.310052131,17.1724020852,0.04,31.199083859,0.03
64.75,1040.5893637,12.8879069155,0.03,20.8117872741,0.02,429.596897183,17.1838758873,0.04,31.2176809111,0.03
65,1041.20986702,12.8965011513,0.03,20.8241973404,0.02,429.883371711,17.1953348684,0.04,31.2362960107,0.03
65.25,1041.83096764,12.9050846012,0.03,20.8366193529,0.02,430.169486708,17.2067794683,0.04,31.2549290293,0.03
65.5,1042.45266137,12.9136575884,0.03,20.8490532275,0.02,430.455252948,17.2182101179,0.04,31.2735798412,0.03
65.75,1043.07494412,12.9222204295,0.03,20.8614988823,0.02,430.740680982,17.2296272393,0.04,31.2922483235,0.03
66,1043.69781186,12.9307734344,0.03,20.8739562373,0.02,431.025781146,17.2410312458,0.04,31.3109343559,0.03
66.25,1044.32126069,12.9393169069,0.03,20.8864252139,0.02,431.310563565,17.2524225426,0.04,31.3296378208,0.03
66.5,1044.94528677,12.9478511447,0.03,20.8989057354,0.02,431.595038157,17.2638015263,0.04,31.3483586031,0.03
66.75,1045.56988634,12.9563764392,0.03,20.9113977268,0.02,431.87921464,17.2751685856,0.04,31.3670965901,0.03
67,1046.19505573,12.964893076,0.03,20.9239011146,0.02,432.163102532,17.2865241013,0.04,31.385851672,0.03
67.25,1046.82079136,12.9734013347,0.03,20.9364158272,0.02,432.446711155,17.2978684462,0.04,31.4046237408,0.03
67.5,1047.44708972,12.9819014894,0.03,20.9489417943,0.02,432.730049645,17.3092019858,0.04,31.4234126915,0.03
67.75,1048.07394736,12.9903938085,0.03,20.9614789473,0.02,433.013126949,17.320525078,0.04,31.4422184209,0.03
68,1048.70136095,12.998878555,0.03,20.974027219,0.02,433.295951833,17.3318380733,0.04,31.4610408285,0.03
68.25,1049.32932718,13.0073559865,0.03,20.9865865437,0.02,433.578532883,17.3431413153,0.04,31.4798798155,0.03
68.5,1049.95784286,13.0158263553,0.03,20.9991568573,0.02,433.860878512,17.3544351405,0.04,31.4987352859,0.03
68.75,1050.58690485,13.0242899088,0.03,21.0117380969,0.02,434.142996959,17.3657198784,0.04,31.5176071454,0.03
69,1051.21651006,13.032746889,0.03,21.0243302012,0.02,434.424896299,17.3769958519,0.04,31.5364953018,0.03
69.25,1051.84665551,13.0411975332,0.03,21.0369331101,0.02,434.706584439,17.3882633776,0.04,31.5553996652,0.03
69.5,1052.47733825,13.0496420738,0.03,21.049546765,0.02,434.988069127,17.3995227651,0.04,31.5743201476,0.03
69.75,1053.10855542,13.0580807386,0.03,21.0621711085,0.02,435.269357955,17.4107743182,0.04,31.5932566627,0.03
70,1053.74030422,13.0665137507,0.03,21.0748060844,0.02,435.550458356,17.4220183342,0.04,31.6122091266,0.03
70.25,1054.3725819,13.0749413285,0.03,21.087451638,0.02,435.831377617,17.4332551047,0.04,31.6311774569,0.03
70.5,1055.00538578,13.0833636862,0.03,21.1001077155,0.02,436.112122872,17.4444849149,0.04,31.6501615733,0.03
70.75,1055.63871323,13.0917810335,0.03,21.1127742646,0.02,436.392701116,17.4557080446,0.04,31.669161397,0.03
71,1056.27256171,13.1001935759,0.03,21.1254512342,0.02,436.673119195,17.4669247678,0.04,31.6881768512,0.03
71.25,1056.9069287,13.1086015147,0.03,21.1381385739,0.02,436.953383822,17.4781353529,0.04,31.7072078609,0.03
71.5,1057.54181175,13.1170050471,0.03,21.1508362351,0.02,437.23350157,17.4893400628,0.04,31.7262543526,0.03
71.75,1058.17720849,13.1254043664,0.03,21.1635441697,0.02,437.513478881,17.5005391552,0.04,31.7453162546,0.03
72,1058.81311656,13.1337996619,0.03,21.1762623311,0.02,437.793322064,17.5117328826,0.04,31.7643934967,0.03
72.25,1059.44953368,13.1421911191,0.03,21.1889906736,0.02,438.073037302,17.5229214921,0.04,31.7834860104,0.03
72.5,1060.08645763,13.1505789196,0.03,21.2017291525,0.02,438.352630652,17.5341052261,0.04,31.8025937288,0.03
72.75,1060.72388621,13.1589632414,0.03,21.2144777242,0.02,438.632108048,17.5452843219,0.04,31.8217165864,0.03
73,1061.36181731,13.1673442591,0.03,21.2272363461,0.02,438.911475304,17.5564590122,0.04,31.8408545192,0.03
73.25,1062.00024883,13.1757221435,0.03,21.2400049766,0.02,439.190738116,17.5676295246,0.04,31.8600074649,0.03
73.5,1062.63917874,13.1840970619,0.03,21.2527835749,0.02,439.469902065,17.5787960826,0.04,31.8791753623,0.03
73.75,1063.27860506,13.1924691786,0.03,21.2655721012,0.02,439.748972619,17.5899589048,0.04,31.8983581518,0.03
74,1063.91852584,13.2008386541,0.03,21.2783705169,0.02,440.027955137,17.6011182055,0.04,31.9175557753,0.03
74.25,1064.55893919,13.209205646,0.03,21.2911787838,0.02,440.306854865,17.6122741946,0.04,31.9367681758,0.03
74.5,1065.19984326,13.2175703085,0.03,21.3039968651,0.02,440.585676949,17.623427078,0.04,31.9559952977,0.03
74.75,1065.84123622,13.2259327928,0.03,21.3168247245,0.02,440.864426427,17.6345770571,0.04,31.9752370867,0.03
75,1066.48311633,13.2342932471,0.03,21.3296623266,0.02,441.143108236,17.6457243295,0.04,31.99449349,0.03
75.25,1067.12548185,13.2426518164,0.03,21.3425096371,0.02,441.421727215,17.6568690886,0.04,32.0137644556,0.03
75.5,1067.7683311,13.2510086431,0.03,21.3553666221,0.02,441.700288102,17.6680115241,0.04,32.0330499331,0.03
75.75,1068.41166244,13.2593638663,0.03,21.3682332487,0.02,441.978795544,17.6791518218,0.04,32.0523498731,0.03
76,1069.05547425,13.2677176227,0.03,21.3811094849,0.02,442.25725409,17.6902901636,0.04,32.0716642274,0.03
76.25,1069.69976497,13.276070046,0.03,21.3939952993,0.02,442.5356682,17.701426728,0.04,32.090992949,0.03
76.5,1070.34453307,13.2844212673,0.03,21.4068906613,0.02,442.814042244,17.7125616898,0.04,32.110335992,0.03
76.75,1070.98977705,13.2927714151,0.03,21.419795541,0.02,443.092380503,17.7236952201,0.04,32.1296933115,0.03
77,1071.63549546,13.3011206152,0.03,21.4327099092,0.02,443.370687172,17.7348274869,0.04,32.1490648638,0.03
77.25,1072.28168688,13.3094689909,0.03,21.4456337375,0.02,443.648966362,17.7459586545,0.04,32.1684506063,0.03
77.5,1072.92834991,13.3178166631,0.03,21.4585669981,0.02,443.927222102,17.7570888841,0.04,32.1878504972,0.03
77.75,1073.5754832,13.3261637502,0.03,21.4715096639,0.02,444.20545834,17.7682183336,0.04,32.2072644959,0.03
78,1074.22308543,13.3345103683,0.03,21.4844617085,0.02,444.483678943,17.7793471577,0.04,32.2266925628,0.03
78.25,1074.87115531,13.3428566311,0.03,21.4974231061,0.02,444.761887702,17.7904755081,0.04,32.2461346592,0.03
78.5,1075.51969157,13.35120265,0.03,21.5103938315,0.02,445.040088332,17.8016035333,0.04,32.2655907472,0.03
78.75,1076.16869301,13.3595485342,0.03,21.5233738602,0.02,445.318284473,17.8127313789,0.04,32.2850607903,0.03
79,1076.81815841,13.3678943908,0.03,21.5363631682,0.02,445.596479693,17.8238591877,0.04,32.3045447523,0.03
79.25,1077.46808661,13.3762403246,0.03,21.5493617322,0.02,445.874677486,17.8349870994,0.04,32.3240425983,0.03
79.5,1078.11847648,13.3845864384,0.03,21.5623695295,0.02,446.15288128,17.8461152512,0.04,32.3435542943,0.03
79.75,1078.76932689,13.3929328329,0.03,21.5753865379,0.02,446.431094431,17.8572437772,0.04,32.3630798068,0.03
80,1079.42063679,13.4012796069,0.03,21.5884127357,0.02,446.70932023,17.8683728092,0.04,32.3826191036,0.03
80.25,1080.07240509,13.4096268571,0.03,21.6014481019,0.02,446.987561902,17.8795024761,0.04,32.4021721528,0.03
80.5,1080.7246308,13.4179746782,0.03,21.6144926159,0.02,447.265822607,17.8906329043,0.04,32.4217389239,0.03
80.75,1081.37731289,13.4263231633,0.03,21.6275462578,0.02,447.544105442,17.9017642177,0.04,32.4413193867,0.03
81,1082.0304504,13.4346724033,0.03,21.640609008,0.02,447.822413443,17.9128965377,0.04,32.4609135119,0.03
81.25,1082.68404237,13.4430224876,0.03,21.6536808474,0.02,448.100749586,17.9240299834,0.04,32.4805212712,0.03
81.5,1083.33808789,13.4513735036,0.03,21.6667617578,0.02,448.379116786,17.9351646714,0.04,32.5001426367,0.03
81.75,1083.99258604,13.459725537,0.03,21.6798517209,0.02,448.657517902,17.9463007161,0.04,32.5197775813,0.03
82,1084.64753596,13.468078672,0.03,21.6929507193,0.02,448.935955734,17.9574382293,0.04,32.5394260789,0.03
82.25,1085.30293679,13.4764329908,0.03,21.7060587358,0.02,449.214433028,17.9685773211,0.04,32.5590881038,0.03
82.5,1085.9587877,13.4847885743,0.03,21.719175754,0.02,449.492952476,17.979718099,0.04,32.5787636309,0.03
82.75,1086.61508787,13.4931455015,0.03,21.7323017574,0.02,449.771516715,17.9908606686,0.04,32.5984526362,0.03
83,1087.27183653,13.50150385,0.03,21.7454367306,0.02,450.050128332,18.0020051333,0.04,32.6181550958,0.03
83.25,1087.9290329,13.5098636958,0.03,21.758580658,0.02,450.32878986,18.0131515944,0.04,32.637870987,0.03
83.5,1088.58667624,13.5182251135,0.03,21.7717335248,0.02,450.607503784,18.0243001514,0.04,32.6576002872,0.03
83.75,1089.24476583,13.5265881762,0.03,21.7848953166,0.02,450.88627254,18.0354509016,0.04,32.6773429748,0.03
84,1089.90330096,13.5349529554,0.03,21.7980660192,0.02,451.165098514,18.0466039406,0.04,32.6970990287,0.03
84.25,1090.56228094,13.5433195214,0.03,21.8112456189,0.02,451.443984047,18.0577593619,0.04,32.7168684283,0.03
84.5,1091.22170512,13.551687943,0.03,21.8244341024,0.02,451.722931434,18.0689172573,0.04,32.7366511537,0.03
84.75,1091.88157285,13.5600582877,0.03,21.8376314569,0.02,452.001942922,18.0800777169,0.04,32.7564471854,0.03
85,1092.54188348,13.5684306215,0.03,21.8508376697,0.02,452.281020717,18.0912408287,0.04,32.7762565045,0.03
85.25,1093.20263643,13.5768050094,0.03,21.8640527286,0.02,452.560166981,18.1024066792,0.04,32.7960790929,0.03
85.5,1093.86383109,13.585181515,0.03,21.8772766219,0.02,452.839383832,18.1135753533,0.04,32.8159149328,0.03
85.75,1094.52546689,13.5935602004,0.03,21.8905093379,0.02,453.118673348,18.1247469339,0.04,32.8357640068,0.03
86,1095.18754328,13.601941127,0.03,21.9037508655,0.02,453.398037566,18.1359215026,0.04,32.8556262983,0.03
86.25,1095.8500597,13.6103243545,0.03,21.917001194,0.02,453.677478483,18.1470991393,0.04,32.875501791,0.03
86.5,1096.51301564,13.6187099417,0.03,21.9302603128,0.02,453.956998057,18.1582799223,0.04,32.8953904692,0.03
86.75,1097.17641059,13.6270979463,0.03,21.9435282117,0.02,454.236598209,18.1694639284,0.04,32.9152923176,0.03
87,1097.84024405,13.6354884246,0.03,21.9568048809,0.02,454.51628082,18.1806512328,0.04,32.9352073214,0.03
87.25,1098.50451554,13.6438814321,0.03,21.9700903108,0.02,454.796047736,18.1918419094,0.04,32.9551354663,0.03
87.5,1099.16922461,13.652277023,0.03,21.9833844922,0.02,455.075900767,18.2030360307,0.04,32.9750767383,0.03
87.75,1099.83437081,13.6606752506,0.03,21.9966874161,0.02,455.355841688,18.2142336675,0.04,32.9950311242,0.03
88,1100.49995369,13.6690761672,0.03,22.0099990738,0.02,455.635872239,18.2254348896,0.04,33.0149986107,0.03
88.25,1101.16597285,13.6774798238,0.03,22.023319457,0.02,455.915994128,18.2366397651,0.04,33.0349791855,0.03
88.5,1101.83242787,13.6858862708,0.03,22.0366485575,0.02,456.196209027,18.2478483611,0.04,33.0549728362,0.03
88.75,1102.49931837,13.6942955573,0.03,22.0499863674,0.02,456.476518578,18.2590607431,0.04,33.0749795511,0.03
89,1103.16664396,13.7027077317,0.03,22.0633328793,0.02,456.756924391,18.2702769756,0.04,33.0949993189,0.03
89.25,1103.83440429,13.7111228413,0.03,22.0766880857,0.02,457.037428044,18.2814971217,0.04,33.1150321286,0.03
89.5,1104.50259899,13.7195409326,0.03,22.0900519797,0.02,457.318031085,18.2927212434,0.04,33.1350779696,0.03
89.75,1105.17122772,13.727962051,0.03,22.1034245544,0.02,457.598735033,18.3039494013,0.04,33.1551368317,0.03
90,1105.84029017,13.7363862413,0.03,22.1168058033,0.02,457.879541378,18.3151816551,0.04,33.175208705,0.03
90.25,1106.509786,13.7448135474,0.03,22.13019572,0.02,458.16045158,18.3264180632,0.04,33.19529358,0.03
90.5,1107.17971492,13.7532440122,0.03,22.1435942985,0.02,458.441467073,18.3376586829,0.04,33.2153914477,0.03
90.75,1107.85007664,13.7616776778,0.03,22.1570015328,0.02,458.722589261,18.3489035704,0.04,33.2355022991,0.03
91,1108.52087087,13.7701145857,0.03,22.1704174173,0.02,459.003819524,18.3601527809,0.04,33.255626126,0.03
91.25,1109.19209734,13.7785547764,0.03,22.1838419467,0.02,459.285159213,18.3714063685,0.04,33.2757629201,0.03
91.5,1109.86375579,13.7869982897,0.03,22.1972751157,0.02,459.566609657,18.3826643863,0.04,33.2959126736,0.03
91.75,1110.53584597,13.7954451647,0.03,22.2107169194,0.02,459.848172157,18.3939268863,0.04,33.3160753791,0.03
92,1111.20836765,13.8038954397,0.03,22.2241673529,0.02,460.129847989,18.4051939195,0.04,33.3362510294,0.03
92.25,1111.88132059,13.8123491522,0.03,22.2376264117,0.02,460.411638406,18.4164655362,0.04,33.3564396176,0.03
92.5,1112.55470457,13.8208063392,0.03,22.2510940915,0.02,460.693544638,18.4277417855,0.04,33.3766411372,0.03
92.75,1113.2285194,13.8292670367,0.03,22.2645703879,0.02,460.975567892,18.4390227157,0.04,33.3968555819,0.03
93,1113.90276486,13.8377312805,0.03,22.2780552971,0.02,461.257709349,18.450308374,0.04,33.4170829457,0.03
93.25,1114.57744076,13.8461991052,0.03,22.2915488153,0.02,461.539970172,18.4615988069,0.04,33.4373232229,0.03
93.5,1115.25254694,13.854670545,0.03,22.3050509388,0.02,461.8223515,18.47289406,0.04,33.4575764082,0.03
93.75,1115.92808321,13.8631456335,0.03,22.3185616642,0.02,462.10485445,18.484194178,0.04,33.4778424962,0.03
94,1116.60404941,13.8716244036,0.03,22.3320809882,0.02,462.387480121,18.4954992049,0.04,33.4981214823,0.03
94.25,1117.28044539,13.8801068877,0.03,22.3456089077,0.02,462.67022959,18.5068091836,0.04,33.5184133616,0.03
94.5,1117.95727099,13.8885931174,0.03,22.3591454199,0.02,462.953103912,18.5181241565,0.04,33.5387181298,0.03
94.75,1118.6345261,13.8970831238,0.03,22.3726905219,0.02,463.236104126,18.5294441651,0.04,33.5590357829,0.03
95,1119.31221056,13.9055769375,0.03,22.3862442112,0.02,463.51923125,18.54076925,0.04,33.5793663169,0.03
95.25,1119.99032427,13.9140745885,0.03,22.3998064854,0.02,463.802486282,18.5520994513,0.04,33.5997097281,0.03
95.5,1120.66886711,13.9225761061,0.03,22.4133773421,0.02,464.085870204,18.5634348082,0.04,33.6200660132,0.03
95.75,1121.34783896,13.9310815194,0.03,22.4269567793,0.02,464.369383979,18.5747753592,0.04,33.6404351689,0.03
96,1122.02723975,13.9395908566,0.03,22.4405447949,0.02,464.653028552,18.5861211421,0.04,33.6608171924,0.03
96.25,1122.70706936,13.9481041455,0.03,22.4541413872,0.02,464.93680485,18.597472194,0.04,33.6812120809,0.03
96.5,1123.38732773,13.9566214136,0.03,22.4677465545,0.02,465.220713786,18.6088285514,0.04,33.7016198318,0.03
96.75,1124.06801476,13.9651426876,0.03,22.4813602952,0.02,465.504756252,18.6201902501,0.04,33.7220404428,0.03
97,1124.74913039,13.9736679939,0.03,22.4949826079,0.02,465.788933128,18.6315573251,0.04,33.7424739118,0.03
97.25,1125.43067457,13.9821973583,0.03,22.5086134913,0.02,466.073245277,18.6429298111,0.04,33.762920237,0.03
97.5,1126.11264722,13.9907308063,0.03,22.5222529444,0.02,466.357693544,18.6543077417,0.04,33.7833794166,0.03
97.75,1126.7950483,13.9992683628,0.03,22.5359009661,0.02,466.642278761,18.6656911504,0.04,33.8038514491,0.03
98,1127.47787777,14.0078100523,0.03,22.5495575555,0.02,466.927001745,18.6770800698,0.04,33.8243363332,0.03
98.25,1128.16113559,14.0163558989,0.03,22.5632227118,0.02,467.211863297,18.6884745319,0.04,33.8448340678,0.03
98.5,1128.84482173,14.0249059262,0.03,22.5768964346,0.02,467.496864207,18.6998745683,0.04,33.8653446518,0.03
98.75,1129.52893615,14.0334601574,0.03,22.5905787231,0.02,467.782005246,18.7112802098,0.04,33.8858680846,0.03
99,1130.21347885,14.0420186153,0.03,22.6042695771,0.02,468.067287175,18.722691487,0.04,33.9064043656,0.03
99.25,1130.89844981,14.0505813222,0.03,22.6179689962,0.02,468.352710741,18.7341084296,0.04,33.9269534943,0.03
99.5,1131.58384902,14.0591483003,0.03,22.6316769803,0.02,468.638276677,18.7455310671,0.04,33.9475154705,0.03
99.75,1132.26967647,14.0677195711,0.03,22.6453935294,0.02,468.923985703,18.7569594281,0.04,33.9680902941,0.03
100,1132.95593217,14.0762951558,0.03,22.6591186434,0.02,469.209838526,18.7683935411,0.04,33.9886779651,0.03
