Years,growth,growth rate,Population
27,143.938662325,0.1,1439.38662325
27.25,147.537128883,0.1,1475.37128883
27.5,151.225557105,0.1,1512.25557105
27.75,155.006196033,0.1,1550.06196033
28,158.881350934,0.1,1588.81350934
28.25,162.853384707,0.1,1628.53384707
28.5,166.924719325,0.1,1669.24719325
28.75,171.097837308,0.1,1710.97837308
29,175.37528324,0.1,1753.7528324
29.25,179.759665321,0.1,1797.59665321
29.5,184.253656954,0.1,1842.53656954
29.75,188.859998378,0.1,1888.59998378
30,193.581498338,0.1,1935.81498338
30.25,198.421035796,0.1,1984.21035796
30.5,203.381561691,0.1,2033.81561691
30.75,208.466100733,0.1,2084.66100733
31,213.677753252,0.1,2136.77753252
31.25,219.019697083,0.1,2190.19697083
31.5,224.49518951,0.1,2244.9518951
31.75,230.107569248,0.1,2301.07569248
32,235.860258479,0.1,2358.60258479
32.25,241.756764941,0.1,2417.56764941
32.5,247.800684065,0.1,2478.00684065
32.75,253.995701166,0.1,2539.95701166
33,260.345593695,0.1,2603.45593695
33.25,266.854233538,0.1,2668.54233538
33.5,273.525589376,0.1,2735.25589376
33.75,280.363729111,0.1,2803.63729111
34,287.372822338,0.1,2873.72822338
34.25,294.557142897,0.1,2945.57142897
34.5,301.921071469,0.1,3019.21071469
34.75,309.469098256,0.1,3094.69098256
35,317.205825712,0.1,3172.05825712
35.25,325.135971355,0.1,3251.35971355
35.5,333.264370639,0.1,3332.64370639
35.75,341.595979905,0.1,3415.95979905
36,350.135879403,0.1,3501.35879403
36.25,358.889276388,0.1,3588.89276388
36.5,367.861508297,0.1,3678.61508297
36.75,377.058046005,0.1,3770.58046005
37,386.484497155,0.1,3864.84497155
37.25,396.146609584,0.1,3961.46609584
37.5,406.050274823,0.1,4060.50274823
37.75,416.201531694,0.1,4162.01531694
38,426.606569986,0.1,4266.06569986
38.25,437.271734236,0.1,4372.71734236
38.5,448.203527592,0.1,4482.03527592
38.75,459.408615782,0.1,4594.08615782
39,470.893831176,0.1,4708.93831176
39.25,482.666176956,0.1,4826.66176956
39.5,494.73283138,0.1,4947.3283138
39.75,507.101152164,0.1,5071.01152164
40,519.778680968,0.1,5197.78680968
40.25,532.773147992,0.1,5327.73147992
40.5,546.092476692,0.1,5460.92476692
40.75,559.744788609,0.1,5597.44788609
41,573.738408325,0.1,5737.38408325
41.25,588.081868533,0.1,5880.81868533
41.5,602.783915246,0.1,6027.83915246
41.75,617.853513127,0.1,6178.53513127
42,633.299850955,0.1,6332.99850955
