time,INITIAL TIME,FINAL TIME,TIME STEP,SAVEPER,population total,recovery rate,transmission rate,infection,recovery,Infected,Recovered,Susceptible
22.25,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,41.151399627294666,27.27078647057567,272.70786470575666,224.29478962184865,502.99734567239545
22.5,0,100,0.25,0.25,1000.0000000000008,0.1,0.3,40.82265959634599,27.61780179949364,276.1780179949364,231.11248623949257,492.7094957655718
22.75,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,40.45494009057808,27.94792324441495,279.4792324441495,238.016936689366,482.50383086648526
23.0,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,40.05008073669738,28.26059866556903,282.6059866556903,245.00391750046973,472.39009584384075
23.25,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,39.610040703404664,28.555335717347237,285.55335717347236,252.06906716686197,462.37757565966643
23.5,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,39.13688057304231,28.831703341998676,288.3170334199867,259.2079010961988,452.4750654838153
23.75,0,100,0.25,0.25,1000.0000000000008,0.1,0.3,38.63274394671706,29.089332772774767,290.89332772774765,266.41582693169846,442.6908453405547
24.0,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,38.09983904227044,29.327918052123323,293.27918052123323,273.68816012489214,433.03265935387543
24.25,0,100,0.25,0.25,1000.0000000000008,0.1,0.3,37.5404205303137,29.547216076877,295.47216076877,281.02013963792297,423.50769959330785
24.5,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,36.956771835017626,29.747046188212916,297.47046188212914,288.4069436571422,414.12259446072943
24.75,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,36.35118810424306,29.92728932938303,299.2728932938303,295.84370520419543,404.883401501975
25.0,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,35.725960028747764,30.08788679875453,300.8788679875453,303.3255275365412,395.7956044759143
25.25,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,35.08335866346376,30.228838629504363,302.2883862950436,310.8474992362298,386.86411446872734
25.5,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,34.425621376042294,30.35020163035335,303.5020163035335,318.40470889360586,378.0932748028614
25.75,0,100,0.25,0.25,1000.0000000000008,0.1,0.3,33.75493901979989,30.452087123995575,304.52087123995574,325.99225930119417,369.48686945885083
26.0,0,100,0.25,0.25,1000.0000000000008,0.1,0.3,33.07344440059156,30.53465842139068,305.3465842139068,333.6052810821931,361.04813470390087
26.25,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,32.38320208062119,30.5981280708707,305.981280708707,341.23894568754076,352.779773603753
26.5,0,100,0.25,0.25,1000.0000000000008,0.1,0.3,31.68619953731007,30.642754921114467,306.42754921114465,348.8884777052584,344.68397308359766
26.75,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,30.9843396725144,30.668841036519353,306.68841036519353,356.549166435537,336.76242319927013
27.0,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,30.27943464693208,30.67672850241923,306.7672850241923,364.21637669466685,329.01633828114154
27.25,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,29.57320099668752,30.666796156032053,306.6679615603205,371.8855588202717,321.44647961940854
27.5,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,28.86725597394723,30.639456277048442,306.3945627704844,379.5522578592797,314.05317937023665
27.75,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,28.1631150410289,30.59515126947091,305.9515126947091,387.21212192854176,306.8363653767498
28.0,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,27.462190437770683,30.53435036375986,305.3435036375986,394.8609097459095,299.7955866164926
28.25,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,26.7657907348116,30.45754636561013,304.5754636561013,402.49449733684946,292.9300390070499
28.5,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,26.075121280728062,30.36525247484017,303.6525247484017,410.108883928252,286.238591323347
28.75,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,25.391285448467336,30.257999194987367,302.57999194987366,417.70019704696205,279.719811003165
29.0,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,24.715286585980298,30.13633135132437,301.36331351324367,425.2646968457089,273.3719896410481
29.25,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,24.048030577129826,30.000805232190768,300.00805232190766,432.79877968354,267.19316799455305
29.5,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,23.390328921579705,29.851985865814243,298.5198586581424,440.29898099158765,261.1811603502706
29.75,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,22.742902246195307,29.690444442208378,296.90444442208377,447.7619774580412,255.33357811987568
30.0,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,22.106384165264405,29.51675588730805,295.1675588730805,455.1845885685933,249.64785255832686
30.25,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,21.481325412343274,29.33149659425696,293.3149659425696,462.56377754042035,244.12125651701075
30.5,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,20.86819817253579,29.135242314709117,291.35242314709114,469.8966516889846,238.75092516392493
30.75,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,20.267400550330898,28.928566211154784,289.2856621115478,477.1804622676619,233.53387562079098
31.0,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,19.679261114588787,28.71203706963419,287.12037069634187,484.41260382045056,228.46702548320826
31.25,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,19.10404346873348,28.48621767075805,284.8621767075805,491.5906130878591,223.54721020456105
31.5,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,18.541950800559324,28.251663315707436,282.51663315707435,498.7121675055486,218.77119933737768
31.75,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,17.99313037219214,28.008920502828733,280.0892050282873,505.7750833344755,214.13571163723785
32.0,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,17.457677916585858,27.75852574956282,277.5852574956282,512.7773134601827,209.63742904418982
32.25,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,16.935641912423513,27.501004553738394,275.0100455373839,519.7169448975734,205.27300956504334
32.5,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,16.427027714387727,27.236870487705524,272.3687048770552,526.592196036008,201.03909908693745
32.75,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,15.931801520443218,26.96662441837258,269.6662441837258,533.4014136579343,196.93234215834053
33.0,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,15.449894162020634,26.690753845924345,266.9075384592434,540.1430697625275,192.94939177822974
33.25,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,14.981204706804675,26.409732353826755,264.0973235382675,546.8157582240086,189.08691823772457
33.5,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,14.525603867216798,26.1240191626512,261.240191626512,553.4181913124653,185.3416170610234
33.75,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,14.082937210658317,25.834058780265337,258.3405878026534,559.9491961031281,181.71021609421922
34.0,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,13.65302817016228,25.540280741025164,255.40280741025163,566.4077107981944,178.18948179155464
34.25,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,13.235680856315971,25.24309942675359,252.4309942675359,572.7927809834507,174.77622474901406
34.5,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,12.830682673186224,24.942913962492653,249.4291396249265,579.1035558401392,171.46730453493507
34.75,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,12.437806742534722,24.64010818025999,246.4010818025999,585.3392843307623,168.25963386663852
35.0,0,100,0.25,0.25,1000.0000000000008,0.1,0.3,12.056814141878716,24.33505064431686,243.35050644316857,591.4993113758273,165.15018218100485
35.25,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,11.687455962962607,24.028094731755903,240.28094731755903,597.5830740369065,162.13597864553518
35.5,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,11.329475197985532,23.719578762536074,237.1957876253607,603.5900977198455,159.2141146547945
35.75,0,100,0.25,0.25,1000.0000000000007,0.1,0.3,10.982608461506494,23.40982617342231,234.0982617342231,609.5199924104795,156.38174585529813
