time,INITIAL TIME,FINAL TIME,TIME STEP,SAVEPER,photosynthesis rate,respiration rate,photosynthesis,respiration,Atmosphere C,Land C
32.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
32.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
33.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
33.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
33.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
33.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
34.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
34.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
34.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
34.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
35.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
35.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
35.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
35.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
36.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
36.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
36.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
36.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
37.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
37.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
37.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
37.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
38.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
38.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
38.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
38.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
39.0,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
39.25,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
39.5,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
39.75,0,100,0.25,0.25,0.05,0.02,40.0,40.0,800.0,2000.0
