time,INITIAL TIME,FINAL TIME,TIME STEP,SAVEPER,downwelling rate,remin rate,uptake rate,upwelling rate,downwelling,remin,uptake,upwelling,Deep N,Surface N
32.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.414941997744744,19.384730336154057,15.219922663659661,29.077095504231085,969.2365168077029,380.4980665914915
32.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.433258729065944,19.393343220302395,15.244344972087926,29.09001483045359,969.6671610151197,381.10862430219817
33.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.451351812535693,19.40202615589697,15.268469083380923,29.103039233845454,970.1013077948485,381.7117270845231
33.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.46922595007016,19.410777849569907,15.292301266760212,29.11616677435486,970.5388924784953,382.3075316690053
33.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.486885746751593,19.419597034696334,15.315847662335457,29.1293955520445,970.9798517348166,382.8961915583864
33.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.504335712823773,19.428482470843353,15.339114283765031,29.142723706265024,971.4241235421675,383.4778570941258
34.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.521580265646346,19.43743294323036,15.362107020861796,29.15614941484554,971.871647161518,384.05267552154487
34.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.538623731608876,19.446447262200515,15.38483164214517,29.169670893300772,972.3223631100258,384.6207910536292
34.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.555470348005477,19.455524262703058,15.407293797340635,29.183286394054587,972.776213135153,385.1823449335159
34.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.572124264870789,19.46466280378633,15.42949901982772,29.196994205679495,973.2331401893165,385.737475495693
35.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.588589546778147,19.473861768101216,15.45145272903753,29.210792652151824,973.6930884050608,386.28631822593826
35.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.604870174600668,19.483120061414855,15.473160232800893,29.22468009212228,974.1560030707427,386.8290058200223
35.5,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.620970047236073,19.49243661213432,15.494626729648099,29.23865491820148,974.621830606716,387.36566824120246
35.75,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.636892983295954,19.501810370840165,15.515857311061273,29.252715556260245,975.0905185420082,387.8964327765318
36.0,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.652642722760227,19.511240309829542,15.536856963680302,29.266860464744312,975.5620154914772,388.42142409200756
36.25,0,100,0.25,0.25,0.03,0.02,0.04,0.03,11.668222928597505,19.52072542266877,15.55763057146334,29.281088134003156,976.0362711334385,388.9407642865835
